rok;miesiąc;Arriva;Cargo Master;Ceske Drahy;Koleje Dolnośląskie;Koleje Małopolskie;Koleje Mazowieckie;Koleje Śląskie;Koleje Wielkopolskie;Leo Express;Łódzka Kolej Aglomeracyjna;ODEG Ostdeutsche;Parowozownia Wolsztyn;PKP Cargo;PKP Intercity;PKP SKM;Polregio;RegioJet;SKM Warszawa;SKPL Cargo;UBB;WKD
;styczeń;96,50%;0,00%;98,79%;90,87%;81,82%;90,67%;89,62%;94,38%;0,00%;94,77%;98,71%;0,00%;0,00%;77,08%;98,38%;92,58%;0,00%;92,43%;83,06%;98,09%;99,64%
2019;;98,26%;0,00%;97,75%;95,32%;88,93%;94,09%;92,59%;95,39%;0,00%;95,66%;95,94%;0,00%;0,00%;84,24%;98,85%;95,07%;0,00%;96,12%;91,07%;99,45%;99,06%
2019;marzec;;50,00%;95,97%;95,26%;93,21%;92,79%;90,25%;97,41%;42,86%;97,25%;96,73%;0,00%;0,00%;81,68%;98,27%;94,10%;0,00%;94,86%;98,39%;98,92%;sto procent
2019;kwiecień;96,82%;54,84%;99,17%;94,60%;97,11%;94,02%;93,14%;95,57%;88,24%;96,74%;96,93%;0,00%;75,00%;82,82%;98,71%;93,97%;0,00%;96,24%;93,33%;98,29%;99,20%
2019;maj;96,45%;82,35%;98,08%;94,78%;94,05%;92,80%;92,97%;96,14%;88,24%;97,11%;83,90%;50,00%;100,00%;82,84%;99,09%;93,86%;0,00%;94,07%;88,24%;97,92%;99,96%
2019;czerwiec;93,34%;71,88%;75,00%;91,80%;91,25%;90,08%;89,08%;93,69%;95,00%;94,91%;93,27%;100,00%;70,83%;78,65%;98,07%;91,39%;0,00%;90,75%;93,67%;95,99%;99,87%
2019;lipiec;95,89%;74,36%;99,19%;93,03%;90,82%;93,52%;90,52%;93,24%;88,71%;95,38%;98,04%;100,00%;71,11%;78,06%;98,90%;92,18%;0,00%;94,39%;89,61%;96,13%;99,79%
2019;sierpień;96,31%;95,65%;97,98%;92,45%;95,71%;92,91%;90,39%;96,42%;91,94%;94,35%;97,86%;100,00%;80,95%;78,57%;98,30%;92,85%;0,00%;94,04%;77,03%;96,87%;99,84%
2019;wrzesień;97,08%;90,00%;97,08%;88,19%;95,19%;92,96%;90,59%;95,08%;94,74%;91,92%;0,00%;100,00%;94,44%;80,30%;98,02%;92,00%;0,00%;94,29%;92,42%;97,62%;99,18%
2019;październik;94,18%;81,48%;95,53%;85,27%;94,69%;90,38%;82,63%;90,49%;71,43%;90,44%;0,00%;0,00%;100,00%;77,32%;97,26%;90,07%;0,00%;92,55%;95,16%;99,31%;99,68%
2019;listopad;95,74%;90,00%;94,17%;92,42%;93,75%;93,65%;87,54%;93,16%;80,56%;96,68%;0,00%;100,00%;100,00%;84,23%;98,48%;92,88%;0,00%;94,08%;98,44%;99,06%;99,82%
2019;grudzień;96,06%;38,46%;97,55%;91,93%;86,94%;93,94%;91,52%;95,60%;90,48%;96,48%;0,00%;100,00%;100,00%;83,72%;97,93%;93,43%;0,00%;95,03%;96,43%;98,81%;99,03%
2020;styczeń;98,00%;0,00%;99,19%;95,25%;92,88%;93,42%;91,57%;94,95%;95,65%;96,61%;0,00%;0,00%;0,00%;85,66%;99,03%;94,61%;0,00%;92,68%;0,00%;98,72%;99,53%
2020;luty;97,79%;100,00%;93,53%;92,81%;94,70%;95,66%;92,17%;94,94%;97,78%;97,13%;0,00%;0,00%;0,00%;85,58%;99,29%;94,22%;0,00%;96,23%;0,00%;98,64%;99,59%
2020;marzec;97,34%;0,00%;98,20%;96,17%;96,34%;96,67%;93,76%;96,96%;100,00%;97,47%;0,00%;0,00%;0,00%;89,63%;99,19%;95,79%;0,00%;97,20%;0,00%;99,03%;99,89%
2020;kwiecień;99,58%;0,00%;0,00%;97,74%;99,32%;98,19%;97,10%;97,16%;0,00%;97,14%;0,00%;0,00%;0,00%;95,84%;99,52%;98,06%;0,00%;98,17%;0,00%;0,00%;99,85%
2020;maj;98,87%;100,00%;0,00%;97,85%;98,32%;98,33%;96,21%;96,58%;0,00%;97,28%;96,27%;0,00%;0,00%;94,55%;99,36%;97,71%;0,00%;98,61%;0,00%;0,00%;99,50%
2020;czerwiec;97,46%;88,57%;92,96%;96,23%;97,28%;94,63%;92,29%;95,40%;0,00%;93,04%;98,45%;0,00%;0,00%;86,64%;98,87%;94,72%;0,00%;94,85%;0,00%;98,76%;98,69%
2020;lipiec;98,39%;80,77%;95,97%;95,15%;96,52%;94,90%;93,01%;94,18%;73,91%;94,96%;99,35%;0,00%;100,00%;86,84%;98,54%;94,07%;0,00%;95,15%;100,00%;97,87%;99,81%
2020;sierpień;98,03%;66,67%;97,15%;94,84%;94,28%;95,19%;92,19%;94,05%;86,79%;96,17%;99,35%;0,00%;100,00%;84,02%;99,00%;92,87%;0,00%;95,97%;100,00%;97,18%;99,57%
2020;wrzesień;98,39%;85,71%;97,08%;94,55%;96,18%;93,12%;89,09%;94,42%;93,18%;95,51%;95,01%;0,00%;75,00%;86,95%;99,69%;94,35%;0,00%;93,26%;100,00%;97,44%;99,36%
2020;październik;97,85%;71,43%;87,50%;93,57%;97,84%;93,64%;88,49%;92,73%;93,55%;97,44%;98,41%;83,33%;100,00%;86,93%;98,09%;93,10%;0,00%;93,54%;100,00%;96,96%;99,69%
2020;listopad;97,93%;0,00%;98,77%;92,00%;97,12%;95,26%;91,67%;94,19%;100,00%;98,15%;97,19%;0,00%;0,00%;89,96%;99,39%;94,43%;0,00%;95,42%;0,00%;98,77%;99,66%
2020;grudzień;97,57%;100,00%;95,92%;92,82%;93,48%;92,99%;86,93%;94,03%;75,00%;95,84%;98,79%;0,00%;100,00%;84,86%;98,87%;94,51%;0,00%;92,50%;0,00%;99,23%;99,20%
2021;styczeń;96,37%;85,71%;98,37%;91,06%;90,56%;88,99%;79,86%;93,69%;0,00%;95,03%;99,62%;0,00%;0,00%;75,73%;98,56%;92,35%;0,00%;87,72%;0,00%;99,15%;99,92%
2021;luty;93,91%;100,00%;95,09%;86,92%;84,12%;88,36%;80,06%;91,61%;0,00%;95,19%;96,68%;0,00%;0,00%;71,40%;97,32%;88,35%;0,00%;88,41%;0,00%;98,59%;99,26%
2021;marzec;97,38%;0,00%;99,60%;94,32%;92,76%;93,19%;89,93%;93,34%;0,00%;96,95%;99,05%;0,00%;0,00%;82,36%;99,02%;93,65%;0,00%;93,11%;0,00%;98,22%;99,92%
2021;kwiecień;98,21%;0,00%;99,01%;93,30%;95,94%;94,85%;89,38%;93,26%;0,00%;97,03%;99,42%;0,00%;0,00%;82,63%;99,09%;95,04%;0,00%;92,85%;0,00%;98,86%;99,90%
2021;maj;97,34%;92,50%;100,00%;91,15%;93,81%;93,66%;89,09%;90,49%;0,00%;95,57%;98,29%;0,00%;0,00%;80,17%;98,48%;93,39%;0,00%;93,47%;0,00%;98,48%;99,55%
2021;czerwiec;95,56%;100,00%;96,67%;86,76%;89,26%;89,78%;90,92%;90,86%;87,50%;94,27%;98,36%;0,00%;0,00%;71,72%;97,96%;89,46%;0,00%;91,78%;0,00%;95,14%;99,58%
2021;lipiec;95,57%;100,00%;94,35%;87,06%;83,14%;87,25%;88,12%;89,88%;50,00%;91,67%;96,25%;0,00%;90,48%;62,13%;96,26%;87,38%;0,00%;89,57%;97,66%;95,32%;99,54%
2021;sierpień;96,68%;71,43%;95,56%;90,80%;82,94%;91,53%;91,30%;91,26%;72,22%;93,88%;97,03%;0,00%;95,45%;66,91%;97,22%;89,11%;0,00%;90,94%;100,00%;95,43%;97,87%
2021;wrzesień;97,00%;91,67%;95,08%;90,12%;84,13%;92,83%;93,33%;93,30%;93,75%;94,54%;97,98%;80,00%;75,00%;69,89%;95,87%;90,00%;0,00%;92,65%;0,00%;97,64%;99,73%
2021;październik;95,78%;66,67%;90,32%;80,73%;88,68%;93,96%;91,59%;90,07%;63,16%;94,78%;94,74%;0,00%;100,00%;73,35%;98,09%;89,67%;0,00%;94,05%;0,00%;97,16%;98,85%
2021;listopad;95,40%;60,00%;93,33%;80,66%;87,38%;92,59%;88,13%;90,28%;87,50%;92,69%;68,82%;100,00%;0,00%;74,49%;99,39%;89,63%;0,00%;92,44%;0,00%;98,42%;99,54%
2021;grudzień;93,72%;0,00%;97,95%;85,36%;88,13%;90,74%;90,88%;90,73%;78,57%;91,49%;96,13%;0,00%;0,00%;64,54%;98,87%;89,33%;0,00%;91,45%;0,00%;98,11%;99,83%
2022;styczeń;95,18%;0,00%;95,55%;90,02%;94,46%;93,86%;93,18%;91,48%;100,00%;90,44%;97,91%;0,00%;0,00%;72,61%;98,31%;92,23%;0,00%;94,43%;0,00%;97,10%;99,23%
2022;luty;92,97%;77,78%;92,86%;90,18%;95,71%;92,91%;95,01%;93,25%;0,00%;94,80%;94,33%;0,00%;0,00%;74,33%;99,18%;92,01%;0,00%;93,24%;0,00%;96,95%;99,45%
2022;marzec;90,86%;0,00%;97,18%;88,72%;87,14%;90,38%;93,50%;94,25%;66,67%;93,06%;95,53%;0,00%;0,00%;63,07%;98,71%;90,91%;42,62%;90,69%;68,75%;98,58%;99,53%
2022;kwiecień;95,31%;66,67%;94,58%;90,89%;93,13%;91,35%;94,48%;94,25%;80,00%;95,03%;96,48%;100,00%;0,00%;73,43%;99,30%;92,05%;71,74%;93,23%;38,89%;98,18%;99,05%
2022;maj;95,39%;83,33%;95,14%;87,57%;93,13%;89,19%;94,19%;93,37%;87,50%;94,51%;95,93%;100,00%;0,00%;69,45%;98,77%;91,21%;42,31%;90,93%;46,15%;95,66%;99,84%
2022;czerwiec;93,30%;77,78%;93,75%;83,65%;91,87%;89,62%;92,21%;90,35%;80,95%;89,08%;91,51%;100,00%;0,00%;61,36%;97,47%;86,42%;32,00%;93,56%;73,33%;93,33%;99,65%
2022;lipiec;89,47%;100,00%;95,90%;79,17%;91,06%;90,46%;91,46%;90,38%;92,86%;84,75%;0,00%;100,00%;89,13%;55,50%;94,18%;84,77%;38,30%;93,84%;92,31%;90,70%;99,60%
2022;sierpień;94,18%;90,00%;97,58%;79,49%;91,79%;89,89%;92,36%;92,34%;76,92%;88,89%;0,00%;100,00%;95,00%;58,27%;96,04%;86,26%;50,81%;93,64%;95,67%;91,59%;98,79%
2022;wrzesień;95,03%;50,00%;96,98%;82,98%;95,12%;92,09%;93,37%;92,51%;92,59%;86,57%;0,00%;100,00%;83,33%;74,50%;95,96%;89,84%;50,00%;92,46%;95,93%;97,45%;98,70%
2022;październik;93,67%;78,95%;94,03%;79,72%;94,48%;85,11%;93,79%;92,61%;77,78%;90,41%;75,00%;100,00%;100,00%;72,17%;93,52%;88,50%;54,10%;88,92%;73,33%;97,89%;99,39%
2022;listopad;93,61%;78,57%;94,98%;83,25%;93,64%;87,48%;93,52%;91,62%;75,00%;90,06%;0,00%;0,00%;100,00%;69,74%;93,09%;88,34%;49,15%;90,66%;63,33%;97,37%;99,96%
2022;grudzień;91,39%;100,00%;93,47%;87,79%;85,53%;79,53%;86,58%;90,32%;66,67%;86,69%;0,00%;100,00%;0,00%;58,73%;95,14%;84,76%;36,21%;82,17%;54,55%;98,11%;99,55%
